,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
84,Fergus Falls,90,US,1561233531,77,46.28,-96.08,66.99,4.7
85,Zinder,1,NE,1561233532,24,13.81,8.99,97.47,8.52
86,Sandy Point,75,CA,1561233533,72,43.71,-65.32,60.8,13.87
87,Bubaque,45,GW,1561233292,84,11.28,-15.83,79.47,17.6
88,Pangoa,9,PE,1561233535,54,-12.12,-73.0,83.97,2.8
89,Sitka,66,US,1561233252,50,37.17,-99.65,80.73,4.5
90,Arraial do Cabo,20,BR,1561233262,60,-22.97,-42.02,75.2,12.75
91,Cidreira,96,BR,1561233539,78,-30.17,-50.22,69.21,4.41
92,Te Anau,63,NZ,1561233540,92,-45.41,167.72,37.0,2.59
93,Kodiak,90,US,1561233247,42,39.95,-94.76,87.01,14.99
94,Ploemeur,0,FR,1561233542,60,47.73,-3.43,71.01,9.44
95,Cherskiy,0,RU,1561233258,43,68.75,161.3,67.23,6.24
96,Qiqihar,67,CN,1561233544,63,47.35,123.91,66.33,3.65
97,Iralaya,40,HN,1561233546,70,15.0,-83.23,87.8,8.05
98,Emerald,40,AU,1561233547,49,-23.53,148.16,48.2,11.41
99,Kapaa,90,US,1561233248,78,22.08,-159.32,82.4,12.75
100,Lubuk Pakam,100,ID,1561233549,90,3.56,98.88,71.91,2.8
101,Alice Springs,0,AU,1561233163,53,-23.7,133.88,32.0,4.7
102,Ambon,0,FR,1561233551,64,47.55,-2.56,71.01,3.36
103,Duzce,62,TR,1561233552,78,40.84,31.16,66.87,2.75
104,Borogontsy,0,RU,1561233554,74,62.67,131.17,62.91,7.27
105,Lagos,93,NG,1561233265,90,6.46,3.39,77.31,13.69
106,Kavieng,100,PG,1561233278,78,-2.57,150.8,82.18,8.48
107,Sumbe,0,AO,1561233377,82,-11.2,13.84,73.35,9.46
108,Phaltan,100,IN,1561233558,85,17.99,74.43,73.18,7.25
109,Montelibano,31,CO,1561233559,75,7.98,-75.42,88.66,6.71
110,Castro,75,CL,1561233272,87,-42.48,-73.76,51.8,12.75
111,Porto Novo,0,BR,1561233244,53,-23.68,-45.44,75.2,14.5
112,Mutis,37,CO,1561233563,81,6.23,-77.4,82.0,8.72
113,Chuy,90,UY,1561233281,97,-33.69,-53.46,63.64,3.06
114,Port Elizabeth,20,US,1561233243,34,39.31,-74.98,82.99,13.87
115,Vestmannaeyjar,31,IS,1561233566,73,63.44,-20.27,52.66,13.73
116,Afikpo,100,NG,1561233567,96,5.88,7.92,73.18,6.22
117,Qaanaaq,100,GL,1561233255,85,77.48,-69.36,31.6,11.34
118,Sakaiminato,75,JP,1561233569,77,35.55,133.23,66.2,5.82
119,Tecpan,75,GT,1561233571,78,14.76,-90.99,71.6,6.93
120,Jasper,75,US,1561233572,94,33.83,-87.28,93.0,4.32
121,Verkh-Usugli,39,RU,1561233573,91,52.7,115.17,55.9,2.1
122,Sorland,99,NO,1561233574,86,67.67,12.69,49.6,15.61
123,Rio Grande,0,BR,1561233575,73,-32.03,-52.1,77.0,2.64
124,Yumen,67,CN,1561233262,48,40.29,97.04,71.91,7.34
125,Sidi Ali,0,DZ,1561233578,85,36.1,0.42,69.94,18.59
126,Codrington,0,AU,1561233579,93,-28.95,153.24,50.0,3.36
127,Kalmunai,86,LK,1561233580,69,7.42,81.82,78.4,3.47
128,Chotila,0,IN,1561233581,92,22.42,71.2,84.0,13.96
129,Port Blair,13,IN,1561233583,81,11.67,92.75,83.61,11.79
130,Nanortalik,100,GL,1561233275,96,60.14,-45.24,35.01,3.22
131,Deniliquin,0,AU,1561233585,93,-35.53,144.96,35.01,4.0
132,Plymouth,0,GB,1561233407,63,50.37,-4.14,62.01,19.46
133,Jerome,40,US,1561233481,17,34.75,-112.11,88.0,11.41
134,Hualmay,28,PE,1561233588,82,-11.1,-77.61,63.27,11.25
135,Uva,99,RU,1561233589,63,56.98,52.19,72.0,8.95
136,Smithers,75,CA,1561233591,52,54.78,-127.17,64.4,6.93
137,Saskylakh,0,RU,1561233260,59,71.97,114.09,56.25,8.77
138,Elizabeth City,40,US,1561233593,39,36.3,-76.22,82.4,6.93
139,New Norfolk,20,AU,1561233245,86,-42.78,147.06,37.99,10.29
140,Bonanza,100,NI,1561233595,93,14.03,-84.62,78.4,3.98
141,Wagar,91,US,1561233596,58,31.44,-87.99,93.99,1.99
142,Avera,75,US,1561233598,74,33.19,-82.53,95.0,12.75
143,Erenhot,99,CN,1561233599,51,43.65,111.97,71.73,5.84
144,Nabire,100,ID,1561233600,98,-3.36,135.5,70.47,2.98
145,Guerrero Negro,24,MX,1561233276,79,27.97,-114.04,62.56,13.24
146,Norman Wells,20,CA,1561233603,43,65.28,-126.83,69.8,20.8
147,East London,24,ZA,1561233015,41,-33.02,27.91,60.04,13.85
148,Slyudyanka,92,RU,1561233606,98,51.66,103.72,54.45,3.09
149,Umba,99,RU,1561233608,97,66.69,34.34,51.76,5.5
150,Conde,0,BR,1561233609,93,-11.81,-37.61,70.47,3.49
151,Colares,0,PT,1561233284,77,38.8,-9.45,69.8,6.93
152,Saint-Georges,79,CA,1561233612,49,46.12,-70.67,73.0,8.99
153,Jumla,100,NP,1561233613,95,29.28,82.18,54.1,0.43
154,Grand Gaube,75,MU,1561233266,73,-20.01,57.66,73.4,16.11
155,Santa Cruz,1,US,1561233601,56,36.97,-122.03,87.01,13.87
156,Mujiayingzi,0,CN,1561233618,50,42.12,118.78,62.19,5.7
157,Aktau,0,KZ,1561233619,28,43.65,51.16,80.6,6.71
158,Orlik,21,RU,1561233620,82,52.51,99.83,46.9,3.24
159,Tiznit,0,MA,1561233622,83,29.7,-9.73,65.97,19.75
160,Tual,56,ID,1561233268,82,-5.67,132.75,79.83,22.7
161,Lubango,0,AO,1561233624,88,-14.92,13.49,61.11,3.74
162,Riohacha,0,CO,1561233328,52,11.54,-72.91,91.4,17.22
163,Boundiali,10,CI,1561233626,89,9.53,-6.48,74.44,4.83
164,Vardo,1,US,1561233628,36,39.62,-77.74,82.0,8.05
165,Cockburn Town,26,TC,1561233289,85,21.46,-71.14,80.56,12.97
166,Kruisfontein,99,ZA,1561233288,91,-34.0,24.73,56.61,26.91
167,Pampa,1,US,1561233618,57,35.54,-100.96,80.6,6.93
168,Henties Bay,0,NA,1561233632,86,-22.12,14.28,55.99,12.71
169,Kaputa,0,ZM,1561233633,58,-8.47,29.66,60.21,2.39
170,Tasiilaq,75,GL,1561233252,80,65.61,-37.64,39.2,13.87
171,Mercedes,100,UY,1561233636,91,-33.25,-58.03,66.99,4.0
172,Maniitsoq,100,GL,1561233637,92,65.42,-52.9,39.87,4.85
173,Pevek,12,RU,1561233638,78,69.7,170.27,35.56,19.42
174,Padang,100,ID,1561233251,70,-0.92,100.36,82.54,6.69
175,Puerto Carreno,20,CO,1561233352,66,6.19,-67.49,87.8,3.31
176,Nelson Bay,90,AU,1561233641,93,-32.72,152.14,52.0,8.05
177,Okahandja,0,NA,1561233642,24,-21.98,16.91,55.4,5.82
178,Oxkutzcab,78,MX,1561233644,36,20.3,-89.42,98.56,9.46
179,Sao Pedro do Sul,20,BR,1561233398,48,-29.62,-54.18,84.2,6.93
180,Brigantine,20,US,1561233646,34,39.41,-74.36,82.0,11.41
181,Hue,20,VN,1561233647,62,16.47,107.58,89.6,4.7
182,Puerto Palomas,1,US,1561233648,9,31.78,-107.63,86.0,13.87
183,Ishimbay,1,RU,1561233650,90,53.45,56.04,61.3,5.53
184,Sayyan,12,YE,1561233651,52,15.17,44.32,77.31,2.57
185,Muros,20,ES,1561233652,63,42.77,-9.06,66.2,6.93
186,Port Alfred,61,ZA,1561233279,57,-33.59,26.89,64.99,5.01
187,Chiredzi,0,ZW,1561233654,74,-21.05,31.67,62.01,2.57
188,Sivaki,100,RU,1561233656,69,52.63,126.75,63.45,2.84
189,Alofi,40,NU,1561233657,68,-19.06,-169.92,71.6,6.93
190,Faanui,6,PF,1561233275,79,-16.48,-151.75,78.4,16.4
191,Tuatapere,31,NZ,1561233659,97,-46.13,167.69,41.0,1.99
192,Baherden,0,TM,1561233660,18,38.44,57.43,78.57,6.87
193,Dunedin,8,NZ,1561233293,99,-45.87,170.5,39.0,4.0
194,Barrow,94,AR,1561233245,47,-38.31,-60.23,56.61,6.49
195,Caravelas,0,BR,1561233664,77,-17.73,-39.27,75.33,10.51
196,Cabo San Lucas,5,MX,1561233429,31,22.89,-109.91,98.01,9.17
197,Redding,1,US,1561233633,25,40.59,-122.39,87.8,5.82
198,Iquique,90,CL,1561233621,72,-20.22,-70.14,62.6,5.82
199,Kahului,20,US,1561233020,55,20.89,-156.47,86.0,5.82
200,Monte Santo,100,BR,1561233669,61,-10.44,-39.33,74.25,7.76
201,Chatrapur,25,IN,1561233380,83,19.35,84.98,77.14,2.37
202,Charters Towers,0,AU,1561233671,46,-20.07,146.27,46.35,8.97
203,Mangrol,0,IN,1561233673,43,25.33,76.51,90.81,5.99
204,Xai-Xai,0,MZ,1561233674,93,-25.04,33.64,64.54,5.86
205,Salalah,75,OM,1561233675,89,17.01,54.1,84.2,10.29
206,Bandundu,0,CD,1561233676,62,-3.32,17.38,76.06,3.27
207,Lungi,100,SL,1561233677,91,9.22,-12.68,77.14,4.68
208,Manta,7,RO,1561233679,75,45.1,24.1,66.16,3.15
209,Kokopo,100,PG,1561233680,97,-4.34,152.27,71.37,3.29
210,Nome,75,US,1561233275,63,30.04,-94.42,93.2,12.75
211,Komsomolskiy,0,RU,1561233682,90,67.55,63.78,36.81,2.13
212,Klaksvik,63,FO,1561233684,76,62.23,-6.59,50.0,10.29
213,Corner Brook,90,CA,1561233685,93,48.95,-57.95,59.0,13.87
214,Hohhot,0,CN,1561233266,60,40.81,111.65,68.0,4.47
215,Tabas,7,IR,1561233687,12,33.6,56.92,100.4,9.17
216,Carman,1,CA,1561233688,68,49.51,-98.0,73.0,12.75
217,Ballinrobe,75,IE,1561233689,55,53.62,-9.22,63.0,11.41
218,Palmer,0,AU,1561233691,86,-34.85,139.16,46.0,1.57
219,Sibi,0,PK,1561233692,30,29.55,67.88,95.68,5.59
220,Kajaani,75,FI,1561233693,81,64.22,27.73,51.8,16.11
221,Vila Franca do Campo,20,PT,1561233264,88,37.72,-25.43,66.2,12.75
222,Alberton,0,ZA,1561233695,57,-26.25,28.13,55.4,0.78
223,Flin Flon,75,CA,1561233472,77,54.77,-101.88,64.4,13.87
224,Talcahuano,0,CL,1561233697,77,-36.72,-73.12,59.0,8.05
225,Sao Manuel,0,BR,1561233699,57,-22.73,-48.57,77.0,5.82
226,Haines Junction,100,CA,1561233277,42,60.75,-137.51,61.3,1.86
